[10:46:51:880 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/SFOAirport/review2981.json
[10:46:51:882 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/SFOAirport/review26500.json
[10:46:51:884 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review7655.json
[10:46:51:884 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/SFOAirport/review16955.json
[10:46:51:886 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/SFOAirport/review487.json
[10:46:51:889 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/SFOAirport/review9329.json
[10:46:51:889 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review1110785.json
[10:46:51:895 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/SFOAirport/review28502.json
[10:46:51:897 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/Hostels/review9491356.json
[10:46:51:897 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/Hostels/review14772741.json
[10:46:51:899 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/UnionSq/review8737.json
[10:46:51:901 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/UnionSq/review150946.json
[10:46:51:901 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/UnionSq/review23395.json
[10:46:51:905 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/UnionSq/review20547.json
[10:46:51:917 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/UnionSq/review5883.json
[10:46:51:922 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/UnionSq/review25622.json
[10:46:51:929 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/UnionSq/review360.json
[10:46:51:931 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/UnionSq/review24468.json
[10:46:51:935 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/FishermansWharf/review476728.json
[10:46:51:938 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/FishermansWharf/review22500.json
[10:46:51:938 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/FishermansWharf/review1047.json
